0|0|2||5|40|75||||"39878335"|"68168974"
0|0|3||2|4|5||||"39878336"|"68168975"
0|0|2||5|40|75||||"39878336"|"68168976"
0|0|3||2|4|5||||"39878337"|"68168977"
0|0|2||5|40|75||||"39878337"|"68168978"
0|3|10||2|4|5||||"39878338"|"68168979"
3|7|10||5|40|75||||"39878338"|"68168980"
0|1|2||2|4|5||||"39878339"|"68168981"
0|1|2||2|4|5||||"39878340"|"68168982"
0|1|2||2|4|5||||"39878341"|"68168983"
0|3|10||2|4|5||||"39878342"|"68168984"
3|7|10||5|40|75||||"39878342"|"68168985"
0|1|2||2|4|5||||"39878343"|"68168986"
0|1|2||2|4|5||||"39878344"|"68168987"
0|1|2||2|4|5||||"39878345"|"68168988"
2|8|15||2|4|5||||"39878346"|"68168989"
7|16|25||5|40|75||||"39878346"|"68168990"
0|1|3||75|162|250||||"39878346"|"68168991"
2|17|25||2|4|5||||"39878347"|"68168992"
10|35|40||5|40|75||||"39878347"|"68168993"
0|3|6||75|162|250||||"39878347"|"68168994"
5|20|30||2|4|5||||"39878348"|"68168995"
20|45|45||5|40|75||||"39878348"|"68168996"
0|5|6||75|162|250||||"39878348"|"68168997"
0|3|25||2|4|5||||"39878349"|"68168998"
5|5|40||5|40|75||||"39878349"|"68168999"
0|0|6||75|162|250||||"39878349"|"68169000"
0|3|15||2|4|5||||"39878350"|"68169001"
5|5|20||5|40|75||||"39878350"|"68169002"
0|0|3||75|162|250||||"39878350"|"68169003"
5|18|30||2|4|5||||"39878351"|"68169004"
15|37|45||5|40|75||||"39878351"|"68169005"
0|4|6||75|162|250||||"39878351"|"68169006"
2|12|25||2|4|5||||"39878352"|"68169007"
10|25|40||5|40|75||||"39878352"|"68169008"
0|3|6||75|162|250||||"39878352"|"68169009"
15|37|45||5|40|75||||"39878353"|"68169010"
5|18|30||2|4|5||||"39878353"|"68169011"
0|4|6||75|162|250||||"39878353"|"68169012"
2|12|25||2|4|5||||"39878354"|"68169013"
10|25|40||5|40|75||||"39878354"|"68169014"
0|3|6||75|162|250||||"39878354"|"68169015"
2|10|15||2|4|5||||"39878355"|"68169016"
7|20|20||5|40|75||||"39878355"|"68169017"
0|0|6||75|162|250||||"39878355"|"68169018"
15|37|45||5|40|75||||"39878356"|"68169019"
5|18|30||2|4|5||||"39878356"|"68169020"
0|4|6||75|162|250||||"39878356"|"68169021"
2|12|25||2|4|5||||"39878357"|"68169022"
10|25|40||5|40|75||||"39878357"|"68169023"
0|3|6||75|162|250||||"39878357"|"68169024"
2|10|15||2|4|5||||"39878358"|"68169025"
7|20|20||5|40|75||||"39878358"|"68169026"
0|0|6||75|162|250||||"39878358"|"68169027"
