"Ochric epipedon"|0|0|25|0|18|25|0|18|25|"13897145"|"5600533"
"Cambic horizon"|0|18|25|25|43|51|5|25|46|"13897145"|"5600534"
"Ochric epipedon"|0|0|0|3|20|30|3|20|30|"13897146"|"5600535"
"Cambic horizon"|3|20|30|13|51|66|10|31|63|"13897146"|"5600536"
"Fragipan"|36|51|66|74|145|183|38|94|142|"13897146"|"5600537"
"Ochric epipedon"|0|0|0|13|18|28|13|18|28|"13897147"|"5600538"
"Cambic horizon"|13|18|28|28|66|102|15|48|69|"13897147"|"5600539"
"Ochric epipedon"|0|0|0|8|38|51|8|38|51|"13897148"|"5600540"
"Fragipan"|20|38|51|76|114|142|25|76|91|"13897148"|"5600541"
"Fragipan"|25|43|56|76|137|183|51|94|127|"13897149"|"5600542"
"Ochric epipedon"|0|0|0|15|23|30|15|23|30|"13897149"|"5600543"
"Ochric epipedon"|0|0|0|3|20|30|3|20|30|"13897150"|"5600544"
"Cambic horizon"|3|20|30|13|51|66|10|31|63|"13897150"|"5600545"
"Fragipan"|36|51|66|74|145|183|38|94|142|"13897150"|"5600546"
"Fragipan"|25|43|56|76|137|183|51|94|127|"13897151"|"5600547"
"Ochric epipedon"|0|0|0|15|23|30|15|23|30|"13897151"|"5600548"
"Fragipan"|20|38|51|76|114|142|25|76|91|"13897152"|"5600549"
"Ochric epipedon"|0|0|0|8|38|51|8|38|51|"13897152"|"5600550"
"Ochric epipedon"|0|0|0|3|20|30|3|20|30|"13897153"|"5600551"
"Cambic horizon"|3|20|30|13|51|66|10|31|63|"13897153"|"5600552"
"Fragipan"|36|51|66|74|145|183|38|94|142|"13897153"|"5600553"
"Fragipan"|66|74|97|102|132|203|20|58|137|"13897154"|"5600554"
"Ochric epipedon"|0|0|0|3|10|30|3|10|30|"13897154"|"5600555"
"Cambic horizon"|3|10|30|48|74|97|36|64|66|"13897154"|"5600556"
"Ochric epipedon"|0|0|0|3|13|18|3|13|18|"13897155"|"5600557"
"Cambic horizon"|3|13|18|28|61|102|15|48|89|"13897155"|"5600558"
"Fragipan"|25|43|56|76|137|183|51|94|127|"13897156"|"5600559"
"Ochric epipedon"|0|0|0|15|23|30|15|23|30|"13897156"|"5600560"
"Ochric epipedon"|0|0|0|3|20|30|3|20|30|"13897157"|"5600561"
"Cambic horizon"|3|20|30|13|51|66|10|31|63|"13897157"|"5600562"
"Fragipan"|36|51|66|74|145|183|38|94|142|"13897157"|"5600563"
"Ochric epipedon"|0|0|0|13|23|28|13|23|28|"13897158"|"5600564"
"Cambic horizon"|13|23|28|28|61|102|15|38|89|"13897158"|"5600565"
"Fragipan"|66|74|97|102|132|203|20|58|137|"13897159"|"5600566"
"Ochric epipedon"|0|0|0|13|23|30|13|23|30|"13897159"|"5600567"
"Cambic horizon"|13|23|30|48|74|97|36|51|66|"13897159"|"5600568"
"Ochric epipedon"|0|0|0|3|20|30|3|20|30|"13897160"|"5600569"
"Cambic horizon"|3|20|30|13|51|66|10|31|63|"13897160"|"5600570"
"Fragipan"|36|51|66|74|145|183|38|94|142|"13897160"|"5600571"
"Fragipan"|25|43|56|76|137|183|51|94|127|"13897161"|"5600572"
"Ochric epipedon"|0|0|0|15|23|30|15|23|30|"13897161"|"5600573"
