"Convex"|"Convex"|"20536414"|"11620446"
"Convex"|"Convex"|"20536415"|"11620449"
"Convex"|"Concave"|"20536416"|"11620452"
"Convex"|"Concave"|"20536417"|"11620455"
"Convex"|"Convex"|"20536418"|"11620474"
"Convex"|"Convex"|"20536419"|"11620497"
"Convex"|"Convex"|"20536420"|"11620498"
"Convex"|"Concave"|"20536421"|"11620518"
"Convex"|"Convex"|"20536422"|"11620506"
"Convex"|"Convex"|"20536423"|"11620508"
"Convex"|"Concave"|"20536424"|"11620514"
"Convex"|"Concave"|"20536425"|"11620516"
"Linear"|"Concave"|"20536426"|"11620467"
"Convex"|"Convex"|"20536427"|"11620534"
"Convex"|"Convex"|"20536428"|"11620537"
"Convex"|"Convex"|"20536429"|"11620540"
"Convex"|"Convex"|"20536430"|"11620543"
"Convex"|"Convex"|"20536431"|"11620546"
"Linear"|"Concave"|"20536432"|"11620557"
"Linear"|"Concave"|"20536433"|"11620560"
"Linear"|"Concave"|"20536434"|"11620563"
"Convex"|"Convex"|"20536435"|"11620458"
"Convex"|"Convex"|"20536436"|"11620461"
"Convex"|"Convex"|"20536437"|"11620464"
"Convex"|"Convex"|"20536438"|"11620470"
"Convex"|"Convex"|"20536439"|"11620472"
"Convex"|"Convex"|"20536440"|"11620507"
"Linear"|"Concave"|"20536441"|"11620552"
"Convex"|"Convex"|"20536442"|"11620509"
"Convex"|"Concave"|"20536443"|"11620515"
"Convex"|"Concave"|"20536444"|"11620517"
"Convex"|"Concave"|"20536445"|"11620523"
"Convex"|"Concave"|"20536446"|"11620525"
"Concave"|"Concave"|"20536447"|"11620527"
"Concave"|"Concave"|"20536457"|"11620685"
"Concave"|"Concave"|"20536458"|"11620694"
"Concave"|"Concave"|"20536459"|"11620612"
"Concave"|"Concave"|"20536460"|"11620618"
"Concave"|"Concave"|"20536467"|"11620607"
"Concave"|"Concave"|"20536468"|"11620608"
"Concave"|"Concave"|"20536469"|"11620609"
"Concave"|"Concave"|"20536470"|"11620611"
"Concave"|"Concave"|"20536482"|"11620566"
"Linear"|"Concave"|"20536519"|"11620614"
"Linear"|"Concave"|"20536520"|"11620619"
"Convex"|"Convex"|"20536521"|"11620584"
"Convex"|"Concave"|"20536525"|"11620551"
"Convex"|"Convex"|"20536526"|"11620582"
"Concave"|"Concave"|"20536527"|"11620592"
"Linear"|"Linear"|"20536529"|"11620593"
"Linear"|"Concave"|"20536530"|"11620594"
"Linear"|"Concave"|"20536531"|"11620627"
"Convex"|"Concave"|"20536532"|"11620628"
"Convex"|"Convex"|"20536535"|"11620585"
"Concave"|"Concave"|"20536538"|"11620616"
"Convex"|"Convex"|"20536540"|"11620447"
"Convex"|"Convex"|"20536541"|"11620450"
"Convex"|"Concave"|"20536542"|"11620453"
"Convex"|"Concave"|"20536543"|"11620456"
"Convex"|"Convex"|"20536544"|"11620459"
"Convex"|"Convex"|"20536545"|"11620462"
"Convex"|"Convex"|"20536546"|"11620465"
"Concave"|"Concave"|"20536547"|"11620528"
"Linear"|"Concave"|"20536548"|"11620468"
"Convex"|"Convex"|"20536549"|"11620535"
"Convex"|"Convex"|"20536550"|"11620538"
"Convex"|"Convex"|"20536551"|"11620541"
"Convex"|"Convex"|"20536552"|"11620544"
"Convex"|"Convex"|"20536553"|"11620547"
"Linear"|"Concave"|"20536554"|"11620558"
"Linear"|"Concave"|"20536555"|"11620561"
"Linear"|"Concave"|"20536556"|"11620564"
"Linear"|"Concave"|"20536557"|"11620676"
"Concave"|"Concave"|"20536561"|"11620617"
"Convex"|"Convex"|"20536563"|"11620448"
"Convex"|"Convex"|"20536564"|"11620451"
"Convex"|"Concave"|"20536565"|"11620454"
"Convex"|"Concave"|"20536566"|"11620457"
"Convex"|"Convex"|"20536567"|"11620460"
"Convex"|"Convex"|"20536568"|"11620463"
"Linear"|"Concave"|"20536569"|"11620571"
"Convex"|"Convex"|"20536570"|"11620491"
"Convex"|"Convex"|"20536571"|"11620493"
"Convex"|"Convex"|"20536572"|"11620495"
"Convex"|"Concave"|"20536573"|"11620519"
"Concave"|"Concave"|"20536574"|"11620529"
"Convex"|"Concave"|"20536575"|"11620567"
"Convex"|"Convex"|"20536576"|"11620466"
"Convex"|"Convex"|"20536577"|"11620475"
"Convex"|"Concave"|"20536578"|"11620483"
"Convex"|"Convex"|"20536579"|"11620485"
"Convex"|"Convex"|"20536580"|"11620487"
"Convex"|"Convex"|"20536581"|"11620489"
"Convex"|"Convex"|"20536582"|"11620586"
"Convex"|"Concave"|"20536583"|"11620484"
"Convex"|"Convex"|"20536584"|"11620486"
"Convex"|"Convex"|"20536585"|"11620488"
"Convex"|"Convex"|"20536586"|"11620490"
"Convex"|"Convex"|"20536587"|"11620492"
"Convex"|"Convex"|"20536588"|"11620494"
"Convex"|"Convex"|"20536589"|"11620496"
"Convex"|"Concave"|"20536590"|"11620568"
"Linear"|"Concave"|"20536591"|"11620572"
"Concave"|"Concave"|"20536592"|"11620610"
"Concave"|"Concave"|"20536593"|"11620613"
"Linear"|"Concave"|"20536594"|"11620520"
"Convex"|"Concave"|"20536595"|"11620575"
"Convex"|"Concave"|"20536596"|"11620578"
"Linear"|"Concave"|"20536597"|"11620587"
"Linear"|"Concave"|"20536598"|"11620595"
"Convex"|"Convex"|"20536599"|"11620597"
"Linear"|"Linear"|"20536600"|"11620710"
"Linear"|"Concave"|"20536601"|"11620712"
"Linear"|"Linear"|"20536602"|"11620697"
"Linear"|"Linear"|"20536603"|"11620699"
"Linear"|"Concave"|"20536604"|"11620701"
"Linear"|"Concave"|"20536605"|"11620704"
"Linear"|"Linear"|"20536606"|"11620706"
"Linear"|"Linear"|"20536607"|"11620708"
"Convex"|"Convex"|"20536608"|"11620681"
"Linear"|"Convex"|"20536609"|"11620683"
"Linear"|"Concave"|"20536610"|"11620686"
"Linear"|"Linear"|"20536611"|"11620689"
"Linear"|"Concave"|"20536612"|"11620691"
"Linear"|"Concave"|"20536613"|"11620695"
"Convex"|"Convex"|"20536614"|"11620638"
"Convex"|"Convex"|"20536615"|"11620639"
"Convex"|"Convex"|"20536616"|"11620640"
"Linear"|"Linear"|"20536617"|"11620674"
"Linear"|"Linear"|"20536618"|"11620677"
"Convex"|"Convex"|"20536619"|"11620679"
"Convex"|"Convex"|"20536620"|"11620632"
"Convex"|"Convex"|"20536621"|"11620633"
"Convex"|"Convex"|"20536622"|"11620634"
"Convex"|"Convex"|"20536623"|"11620635"
"Convex"|"Convex"|"20536624"|"11620636"
"Convex"|"Convex"|"20536625"|"11620637"
"Convex"|"Concave"|"20536626"|"11620624"
"Convex"|"Concave"|"20536627"|"11620625"
"Convex"|"Concave"|"20536628"|"11620626"
"Convex"|"Convex"|"20536629"|"11620629"
"Convex"|"Convex"|"20536630"|"11620630"
"Convex"|"Convex"|"20536631"|"11620631"
"Convex"|"Convex"|"20536632"|"11620599"
"Linear"|"Concave"|"20536633"|"11620601"
"Linear"|"Concave"|"20536634"|"11620604"
"Linear"|"Concave"|"20536635"|"11620621"
"Linear"|"Concave"|"20536636"|"11620622"
"Linear"|"Concave"|"20536637"|"11620623"
"Convex"|"Convex"|"20536638"|"11620471"
"Convex"|"Convex"|"20536639"|"11620473"
"Concave"|"Concave"|"20536640"|"11620476"
"Concave"|"Concave"|"20536641"|"11620477"
"Concave"|"Concave"|"20536642"|"11620478"
"Concave"|"Concave"|"20536643"|"11620479"
"Convex"|"Convex"|"20536644"|"11620583"
"Linear"|"Concave"|"20536645"|"11620590"
"Convex"|"Concave"|"20536646"|"11620591"
"Linear"|"Concave"|"20536647"|"11620556"
"Linear"|"Concave"|"20536648"|"11620569"
"Linear"|"Concave"|"20536649"|"11620570"
"Linear"|"Concave"|"20536650"|"11620573"
"Linear"|"Concave"|"20536651"|"11620574"
"Convex"|"Concave"|"20536652"|"11620581"
"Convex"|"Concave"|"20536653"|"11620531"
"Concave"|"Concave"|"20536654"|"11620532"
"Concave"|"Concave"|"20536655"|"11620533"
"Linear"|"Concave"|"20536656"|"11620553"
"Linear"|"Concave"|"20536657"|"11620554"
"Linear"|"Concave"|"20536658"|"11620555"
"Convex"|"Concave"|"20536659"|"11620504"
"Convex"|"Concave"|"20536660"|"11620505"
"Linear"|"Concave"|"20536661"|"11620510"
"Convex"|"Concave"|"20536662"|"11620524"
"Convex"|"Concave"|"20536663"|"11620526"
"Convex"|"Concave"|"20536664"|"11620530"
"Concave"|"Concave"|"20536665"|"11620480"
"Linear"|"Concave"|"20536666"|"11620481"
"Linear"|"Concave"|"20536667"|"11620482"
"Linear"|"Concave"|"20536668"|"11620499"
"Linear"|"Concave"|"20536669"|"11620501"
"Convex"|"Concave"|"20536670"|"11620503"
"Linear"|"Concave"|"20536671"|"11620596"
"Convex"|"Convex"|"20536672"|"11620598"
