"g"|"39878573"|"14899363"
"g"|"39878574"|"14899364"
"g"|"39878576"|"14899361"
"g"|"39878577"|"14899362"
"w"|"39878585"|"14899440"
"w"|"39878586"|"14899441"
"x"|"39878588"|"14899442"
"p"|"39878589"|"14899439"
"w"|"39878590"|"14899386"
"w"|"39878591"|"14899388"
"x"|"39878592"|"14899387"
"x"|"39878593"|"14899389"
"p"|"39878595"|"14899385"
"p"|"39878597"|"14899518"
"w"|"39878598"|"14899519"
"w"|"39878599"|"14899520"
"p"|"39878603"|"14899375"
"w"|"39878604"|"14899376"
"g"|"39878605"|"14899378"
"x"|"39878606"|"14899377"
"x"|"39878607"|"14899379"
"w"|"39878609"|"14899427"
"g"|"39878610"|"14899429"
"x"|"39878611"|"14899428"
"x"|"39878612"|"14899430"
"p"|"39878614"|"14899423"
"x"|"39878615"|"14899425"
"g"|"39878615"|"14899426"
"g"|"39878617"|"14899424"
"x"|"39878618"|"14899421"
"g"|"39878618"|"14899422"
"g"|"39878620"|"14899420"
"p"|"39878621"|"14899419"
"p"|"39878622"|"14899349"
"g"|"39878623"|"14899431"
"g"|"39878624"|"14899432"
"g"|"39878626"|"14899350"
"p"|"39878630"|"14899433"
"g"|"39878631"|"14899434"
"g"|"39878633"|"14899435"
"g"|"39878634"|"14899348"
"p"|"39878717"|"14899472"
"t"|"39878718"|"14899473"
"e"|"39878723"|"14899488"
"t"|"39878724"|"14899489"
"t"|"39878726"|"14899490"
"t"|"39878727"|"14899491"
"i"|"39878729"|"14899492"
"t"|"39878730"|"14899465"
"g"|"39878730"|"14899466"
"x"|"39878731"|"14899467"
"t"|"39878731"|"14899468"
"g"|"39878731"|"14899469"
"g"|"39878734"|"14899470"
"i"|"39878735"|"14899471"
"t"|"39878737"|"14899474"
"x"|"39878738"|"14899475"
"t"|"39878738"|"14899476"
"e"|"39878742"|"14899477"
"p"|"39878743"|"14899415"
"t"|"39878745"|"14899416"
"g"|"39878745"|"14899417"
"g"|"39878746"|"14899418"
"t"|"39878748"|"14899399"
"i"|"39878751"|"14899400"
"w"|"39878753"|"14899403"
"t"|"39878758"|"14899395"
"x"|"39878759"|"14899396"
