20|"325609"|"289327"|"18935046"
20|"325612"|"289327"|"18935047"
20|"325613"|"289327"|"18935048"
509|"325609"|"289328"|"18935049"
339|"325611"|"289328"|"18935050"
848|"325612"|"289328"|"18935051"
848|"325613"|"289328"|"18935052"
1276|"325609"|"289329"|"18935053"
1276|"325611"|"289329"|"18935054"
2552|"325612"|"289329"|"18935055"
2552|"325613"|"289329"|"18935056"
541|"325609"|"289330"|"18935057"
541|"325611"|"289330"|"18935058"
1082|"325612"|"289330"|"18935059"
1082|"325613"|"289330"|"18935060"
18|"325609"|"289331"|"18935061"
18|"325612"|"289331"|"18935062"
18|"325613"|"289331"|"18935063"
212|"325609"|"289332"|"18935064"
212|"325612"|"289332"|"18935065"
212|"325613"|"289332"|"18935066"
48|"325609"|"289333"|"18935174"
48|"325611"|"289333"|"18935175"
96|"325612"|"289333"|"18935176"
96|"325613"|"289333"|"18935177"
92|"325611"|"289334"|"18935178"
92|"325612"|"289334"|"18935179"
92|"325613"|"289334"|"18935180"
1069|"325609"|"289335"|"18935067"
2137|"325610"|"289335"|"18935068"
1068|"325611"|"289335"|"18935069"
4274|"325612"|"289335"|"18935070"
4274|"325613"|"289335"|"18935071"
35|"325611"|"289336"|"18935072"
35|"325612"|"289336"|"18935073"
35|"325613"|"289336"|"18935074"
506|"325609"|"289337"|"18935078"
34|"325610"|"289337"|"18935079"
135|"325611"|"289337"|"18935080"
675|"325612"|"289337"|"18935081"
675|"325613"|"289337"|"18935082"
19|"325610"|"289338"|"18935156"
19|"325612"|"289338"|"18935157"
19|"325613"|"289338"|"18935158"
165|"325610"|"289339"|"18935165"
165|"325612"|"289339"|"18935166"
165|"325613"|"289339"|"18935167"
88|"325609"|"289340"|"18935075"
88|"325612"|"289340"|"18935076"
88|"325613"|"289340"|"18935077"
56|"325611"|"289326"|"18935043"
56|"325612"|"289326"|"18935044"
56|"325613"|"289326"|"18935045"
31|"325609"|"289325"|"18935040"
31|"325612"|"289325"|"18935041"
31|"325613"|"289325"|"18935042"
171|"325609"|"289324"|"18935037"
171|"325612"|"289324"|"18935038"
171|"325613"|"289324"|"18935039"
333|"325609"|"289323"|"18935034"
333|"325612"|"289323"|"18935035"
333|"325613"|"289323"|"18935036"
173|"325609"|"289322"|"18935030"
19|"325611"|"289322"|"18935031"
192|"325612"|"289322"|"18935032"
192|"325613"|"289322"|"18935033"
361|"325609"|"289321"|"18935026"
90|"325611"|"289321"|"18935027"
451|"325612"|"289321"|"18935028"
451|"325613"|"289321"|"18935029"
126|"325610"|"289320"|"18935153"
126|"325612"|"289320"|"18935154"
126|"325613"|"289320"|"18935155"
137|"325610"|"289319"|"18935150"
137|"325612"|"289319"|"18935151"
137|"325613"|"289319"|"18935152"
112|"325610"|"289318"|"18935147"
112|"325612"|"289318"|"18935148"
112|"325613"|"289318"|"18935149"
18|"325610"|"289317"|"18935144"
18|"325612"|"289317"|"18935145"
18|"325613"|"289317"|"18935146"
1440|"325610"|"289316"|"18935141"
1440|"325612"|"289316"|"18935142"
1440|"325613"|"289316"|"18935143"
2337|"325610"|"289315"|"18935138"
2337|"325612"|"289315"|"18935139"
2337|"325613"|"289315"|"18935140"
1025|"325610"|"289314"|"18935135"
1025|"325612"|"289314"|"18935136"
1025|"325613"|"289314"|"18935137"
171|"325610"|"289313"|"18935132"
171|"325612"|"289313"|"18935133"
171|"325613"|"289313"|"18935134"
54|"325610"|"289312"|"18935129"
54|"325612"|"289312"|"18935130"
54|"325613"|"289312"|"18935131"
92|"325609"|"289311"|"18935022"
139|"325611"|"289311"|"18935023"
231|"325612"|"289311"|"18935024"
231|"325613"|"289311"|"18935025"
19|"325609"|"289310"|"18935126"
19|"325612"|"289310"|"18935127"
19|"325613"|"289310"|"18935128"
96|"325609"|"289309"|"18935019"
96|"325612"|"289309"|"18935020"
96|"325613"|"289309"|"18935021"
37|"325609"|"289308"|"18935016"
37|"325612"|"289308"|"18935017"
37|"325613"|"289308"|"18935018"
70|"325609"|"289307"|"18935012"
46|"325611"|"289307"|"18935013"
116|"325612"|"289307"|"18935014"
116|"325613"|"289307"|"18935015"
81|"325609"|"289306"|"18935009"
81|"325612"|"289306"|"18935010"
81|"325613"|"289306"|"18935011"
328|"325609"|"289305"|"18935006"
328|"325612"|"289305"|"18935007"
328|"325613"|"289305"|"18935008"
151|"325609"|"289304"|"18935003"
151|"325612"|"289304"|"18935004"
151|"325613"|"289304"|"18935005"
186|"325609"|"289303"|"18935000"
186|"325612"|"289303"|"18935001"
186|"325613"|"289303"|"18935002"
427|"325609"|"289302"|"18934997"
427|"325612"|"289302"|"18934998"
427|"325613"|"289302"|"18934999"
486|"325609"|"289301"|"18934994"
486|"325612"|"289301"|"18934995"
486|"325613"|"289301"|"18934996"
377|"325609"|"289300"|"18934991"
377|"325612"|"289300"|"18934992"
377|"325613"|"289300"|"18934993"
1488|"325609"|"289299"|"18934987"
1489|"325611"|"289299"|"18934988"
2977|"325612"|"289299"|"18934989"
2977|"325613"|"289299"|"18934990"
48|"325609"|"289298"|"18934984"
48|"325612"|"289298"|"18934985"
48|"325613"|"289298"|"18934986"
25|"325609"|"289297"|"18934981"
25|"325612"|"289297"|"18934982"
25|"325613"|"289297"|"18934983"
48|"325611"|"289296"|"18935181"
48|"325612"|"289296"|"18935182"
48|"325613"|"289296"|"18935183"
10|"325611"|"289295"|"18935184"
10|"325612"|"289295"|"18935185"
10|"325613"|"289295"|"18935186"
6|"325609"|"289294"|"18935083"
6|"325612"|"289294"|"18935084"
6|"325613"|"289294"|"18935085"
160|"325609"|"289293"|"18934978"
160|"325612"|"289293"|"18934979"
160|"325613"|"289293"|"18934980"
63|"325609"|"289292"|"18934975"
63|"325612"|"289292"|"18934976"
63|"325613"|"289292"|"18934977"
82|"325609"|"289291"|"18934972"
82|"325612"|"289291"|"18934973"
82|"325613"|"289291"|"18934974"
44|"325609"|"289290"|"18934969"
44|"325612"|"289290"|"18934970"
44|"325613"|"289290"|"18934971"
25|"325609"|"289289"|"18934966"
25|"325612"|"289289"|"18934967"
25|"325613"|"289289"|"18934968"
52|"325609"|"289288"|"18935089"
52|"325612"|"289288"|"18935090"
52|"325613"|"289288"|"18935091"
84|"325611"|"289287"|"18935168"
84|"325612"|"289287"|"18935169"
84|"325613"|"289287"|"18935170"
48|"325611"|"289286"|"18935171"
48|"325612"|"289286"|"18935172"
48|"325613"|"289286"|"18935173"
26|"325609"|"289285"|"18934963"
26|"325612"|"289285"|"18934964"
26|"325613"|"289285"|"18934965"
241|"325609"|"289284"|"18934960"
