"CL"|No |"39878331"|"75535530"
"CL-ML"|Yes|"39878331"|"75535531"
"ML"|No |"39878331"|"75535532"
"ML"|No |"39878332"|"75535533"
"OL"|Yes|"39878332"|"75535534"
"CL"|Yes|"39878333"|"75535535"
"CL-ML"|No |"39878333"|"75535536"
"CL"|No |"39878334"|"75535537"
"CL-ML"|Yes|"39878334"|"75535538"
"ML"|No |"39878334"|"75535539"
"CL"|Yes|"39878335"|"75535540"
"CL-ML"|No |"39878335"|"75535541"
"CL"|Yes|"39878336"|"75535542"
"CL-ML"|No |"39878336"|"75535543"
"CL"|No |"39878337"|"75535544"
"CL-ML"|Yes|"39878337"|"75535545"
"ML"|No |"39878337"|"75535546"
"CH"|No |"39878338"|"75535547"
"CL"|Yes|"39878338"|"75535548"
"CL"|Yes|"39878339"|"75535549"
"CH"|Yes|"39878340"|"75535550"
"CL"|No |"39878340"|"75535551"
"CH"|No |"39878341"|"75535552"
"CL"|Yes|"39878341"|"75535553"
"CH"|No |"39878342"|"75535554"
"CL"|Yes|"39878342"|"75535555"
"CL"|Yes|"39878343"|"75535556"
"CH"|Yes|"39878344"|"75535557"
"CL"|No |"39878344"|"75535558"
"CH"|No |"39878345"|"75535559"
"CL"|Yes|"39878345"|"75535560"
"SC-SM"|Yes|"39878346"|"75535561"
"CL-ML"|No |"39878346"|"75535562"
"GM"|No |"39878346"|"75535563"
"ML"|No |"39878346"|"75535564"
"SM"|No |"39878346"|"75535565"
"GC-GM"|Yes|"39878347"|"75535566"
"GM"|No |"39878347"|"75535567"
"ML"|No |"39878347"|"75535568"
"SM"|No |"39878347"|"75535569"
"GP-GM"|Yes|"39878348"|"75535570"
"GP"|No |"39878348"|"75535571"
"GW"|No |"39878348"|"75535572"
"GW-GM"|No |"39878348"|"75535573"
"SW-SM"|No |"39878348"|"75535574"
"GM"|No |"39878349"|"75535575"
"ML"|No |"39878349"|"75535576"
"SM"|Yes|"39878349"|"75535577"
"SC-SM"|Yes|"39878350"|"75535578"
"ML"|No |"39878350"|"75535579"
"SM"|No |"39878350"|"75535580"
"GW-GM"|Yes|"39878351"|"75535581"
"GW"|No |"39878351"|"75535582"
"SM"|No |"39878351"|"75535583"
"GM"|No |"39878351"|"75535584"
"SW"|No |"39878351"|"75535585"
"GM"|No |"39878352"|"75535586"
"ML"|Yes|"39878352"|"75535587"
"SM"|No |"39878352"|"75535588"
"GW-GM"|Yes|"39878353"|"75535589"
"GW"|No |"39878353"|"75535590"
"SM"|No |"39878353"|"75535591"
"GM"|No |"39878353"|"75535592"
"SW"|No |"39878353"|"75535593"
"GM"|No |"39878354"|"75535594"
"ML"|Yes|"39878354"|"75535595"
"SM"|No |"39878354"|"75535596"
"GC-GM"|Yes|"39878355"|"75535597"
"GM"|No |"39878355"|"75535598"
"ML"|No |"39878355"|"75535599"
"SM"|No |"39878355"|"75535600"
"GW-GM"|Yes|"39878356"|"75535601"
"GM"|No |"39878356"|"75535602"
"GW"|No |"39878356"|"75535603"
"SM"|No |"39878356"|"75535604"
"SW"|No |"39878356"|"75535605"
"GM"|No |"39878357"|"75535606"
"ML"|Yes|"39878357"|"75535607"
"SM"|No |"39878357"|"75535608"
"GC-GM"|Yes|"39878358"|"75535609"
"GM"|No |"39878358"|"75535610"
"SM"|No |"39878358"|"75535611"
"ML"|No |"39878358"|"75535612"
"GM"|No |"39878359"|"75535613"
"ML"|Yes|"39878359"|"75535614"
"SM"|No |"39878359"|"75535615"
"GC-GM"|Yes|"39878360"|"75535616"
"GM"|No |"39878360"|"75535617"
"SM"|No |"39878360"|"75535618"
"ML"|No |"39878360"|"75535619"
"GW-GM"|Yes|"39878361"|"75535620"
