"H4"||"H"||4||91|||152|||||0|0|0|0|2|8|40|50|100|25|35|100|10|20|75|0|8|30|70|78.5|91||3.2|||12.4|||20.6|||27.1|||15.2||0|16.5|29|||||||0|5|15||||0|0.5|1||||1.2|1.3|1.4|||||1.42|||42|92|141|0.01|0.03|0.05||9.3|||6.3|||1.8|||25||0|1.5|2.9||||0|0|0|0|0|0|".05"|".24"|0|0|0|0|0|0|0|0|0|0|0|0||||0|1.3|6.8||||4.5|5.3|6|||||||||||||||||||||||||||||||||"13896592"|"39878294"
"H3"||"H"||3||58|||91|||||0|0|0|0|0|0|95|100|100|92|96|100|80|90|100|65|85|95|0|6.3|50||0|||0|||0.2|||1.8|||4.3||40|61.7|80|||||||18|32|35||||0|0.5|1||||1.2|1.4|1.6|||||1.6|||1.4|7.7|14|0.15|0.18|0.2|||||31.4|||18.1|||44||3|4.5|5.9|20|30|40|5|10|15|0|7|16|".43"|".43"|0|0|0|0|0|0|0|0|0|0|0|0||||5.3|11.1|18.1||||4.5|5|5.5|||||||||||||||||||||||||||||||||"13896592"|"39878295"
"H2"||"H"||2||23|||58|||||0|0|0|0|0|0|95|100|100|92|96|100|80|90|100|50|75|90|0|11.2|50||0.1|||0.4|||0.9|||3.3|||6.5||50|66.8|80|||||||0|22|27||||0|1|2||||1.2|1.3|1.4|||||1.36|||4|9|14|0.18|0.2|0.21|||||27.4|||12.4|||47||0|1.5|2.9|15|22.5|30|2|6|10|0|2|8|".49"|".49"|0|0|0|0|0|0|0|0|0|0|0|0||||0|6.6|13.4||||4.5|5|5.5|||||||||||||||||||||||||||||||||"13896592"|"39878296"
"H1"||"H"||1||0|||23|||||0|0|0|0|0|0|95|100|100|92|96|100|80|90|100|50|75|90|0|13.6|50||0.2|||0.4|||1.1|||4|||7.9||50|64.4|80|||||||0|22|27||||2|4.5|7||||1.2|1.3|1.4|||||1.36|||4|9|14|0.18|0.19|0.2|||||30.3|||16.4|||46||0|1.5|2.9|15|22.5|30|2|6|10|0|2|8|".32"|".32"|0|0|0|0|0|0|0|0|0|0|0|0||||0|5.6|7.8||||4.5|5|5.5|||||||||||||||||||||||||||||||||"13896592"|"39878297"
"H2"||"H"||2||23|||76|||||0|0|0|0|2|25|50|65|85|35|45|70|15|25|60|10|15|40|24|66.9|85||4.7|||13.6|||16.7|||20.1|||11.8||0|23.1|50|||||||0|10|27||||0|1|2||||1.45|1.55|1.65|||||1.67|||14|28|42|0.07|0.08|0.09|||||10.2|||4.6|||22||0|1.5|2.9|10|12.5|15|0|1.5|3|0|0|0|".10"|".28"|0|1|1|0|0|0|0|0|0|0|0|0|0|5.4|14.6|||||||5.1|6.2|7.3|||||||||||||||||||||||||||||||||"13896597"|"39878298"
"H1"||"H"||1||0|||23|||||0|0|0|0|0|10|65|75|85|40|55|70|25|45|65|15|35|50|24|43.3|52||4.2|||5.8|||7.7|||13.4|||12.2||28|39.7|50|||||||7|17|27||||2|3.5|5||||1.35|1.5|1.65|||||1.6|||14|28|42|0.04|0.09|0.14|||||20.4|||10.3|||27||0|1.5|2.9|10|12.5|15|0|1.5|3|0|0|0|".10"|".24"|0|0|0|0|0|0|0|0|0|0|0|0||||1.5|4.3|7.8||||4.5|5|5.5|||||||||||||||||||||||||||||||||"13896597"|"39878299"
"H3"||"H"||3||76|||152|||||0|0|0|0|2|25|45|60|70|35|45|45|15|25|30|0|5|10|44|78.5|100||3.2|||12.4|||20.6|||27.1|||15.2||0|16.5|49|||||||0|5|20||||0|0.25|0.5||||1.45|1.55|1.65|||||1.67|||42|92|141|0.02|0.03|0.04||10.6|||7.3|||2.2|||23||0|1.5|2.9||||0|0|0|0|0|0|".10"|".24"|1|6|10|0|0|0|0|0|0|0|0|0|0|2.7|10.6|||||||6.6|7.2|7.8|||||||||||||||||||||||||||||||||"13896597"|"39878300"
"H1"||"H"||1||0|||23|||||0|0|0|0|0|10|65|75|85|40|55|70|25|45|65|15|35|50|24|43.3|52||4.2|||5.8|||7.7|||13.4|||12.2||28|39.7|50|||||||7|17|27||||2|3.5|5||||1.35|1.5|1.65|||||1.6|||14|28|42|0.04|0.09|0.14|||||20.4|||10.3|||27||0|1.5|2.9|10|12.5|15|0|1.5|3|0|0|0|".10"|".24"|0|0|0|0|0|0|0|0|0|0|0|0||||1.5|4.3|7.8||||4.5|5|5.5|||||||||||||||||||||||||||||||||"13896605"|"39878301"
"H2"||"H"||2||23|||76|||||0|0|0|0|2|25|50|65|85|35|45|70|15|25|60|10|15|40|24|66.9|85||4.7|||13.6|||16.7|||20.1|||11.8||0|23.1|50|||||||0|10|27||||0|1|2||||1.45|1.55|1.65|||||1.67|||14|28|42|0.07|0.08|0.09|||||10.2|||4.6|||22||0|1.5|2.9|10|12.5|15|0|1.5|3|0|0|0|".10"|".28"|0|1|1|0|0|0|0|0|0|0|0|0|0|5.4|14.6|||||||5.1|6.2|7.3|||||||||||||||||||||||||||||||||"13896605"|"39878302"
"H3"||"H"||3||76|||152|||||0|0|0|0|2|25|45|60|70|35|45|45|15|25|30|0|5|10|44|78.5|100||3.2|||12.4|||20.6|||27.1|||15.2||0|16.5|49|||||||0|5|20||||0|0.25|0.5||||1.45|1.55|1.65|||||1.67|||42|92|141|0.02|0.03|0.04||10.6|||7.3|||2.2|||23||0|1.5|2.9||||0|0|0|0|0|0|".10"|".24"|1|6|10|0|0|0|0|0|0|0|0|0|0|2.7|10.6|||||||6.6|7.2|7.8|||||||||||||||||||||||||||||||||"13896605"|"39878303"
