|"Interfluve"|||"20536612"|"7018495"
|"Side Slope"|||"20536612"|"7018496"
|"Side Slope"|||"20536613"|"7018501"
|"Head Slope"|||"20536613"|"7018502"
|"Side Slope"|||"20536614"|"7018434"
|"Side Slope"|||"20536615"|"7018435"
|"Side Slope"|||"20536616"|"7018436"
|"Side Slope"|||"20536617"|"7018467"
|"Nose Slope"|||"20536617"|"7018468"
|"Crest"|||"20536618"|"7018472"
|"Base Slope"|||"20536618"|"7018473"
|"Interfluve"|||"20536619"|"7018475"
|"Crest"|||"20536619"|"7018476"
|"Crest"|||"20536620"|"7018428"
|"Crest"|||"20536621"|"7018429"
|"Side Slope"|||"20536622"|"7018430"
|"Side Slope"|||"20536623"|"7018431"
|"Side Slope"|||"20536624"|"7018432"
|"Crest"|||"20536625"|"7018433"
|"Side Slope"|||"20536626"|"7018420"
|"Side Slope"|||"20536627"|"7018421"
|"Side Slope"|||"20536628"|"7018422"
|"Crest"|||"20536629"|"7018425"
|"Crest"|||"20536630"|"7018426"
|"Side Slope"|||"20536631"|"7018427"
|"Interfluve"|||"20536632"|"7018390"
|"Crest"|||"20536632"|"7018391"
|"Base Slope"|||"20536633"|"7018393"
|"Interfluve"|||"20536633"|"7018394"
|"Base Slope"|||"20536634"|"7018398"
|"Interfluve"|||"20536634"|"7018399"
|"Base Slope"|||"20536635"|"7018417"
|"Base Slope"|||"20536636"|"7018418"
|"Base Slope"|||"20536637"|"7018419"
||"Tread"||"20536638"|"7018254"
||"Riser"||"20536639"|"7018256"
||"Tread"||"20536640"|"7018259"
||"Tread"||"20536641"|"7018260"
||"Tread"||"20536642"|"7018261"
||"Tread"||"20536643"|"7018262"
||"Tread"||"20536644"|"7018370"
||"Tread"||"20536645"|"7018377"
||"Tread"||"20536646"|"7018378"
||"Tread"||"20536647"|"7018343"
||"Tread"||"20536648"|"7018356"
||"Tread"||"20536649"|"7018357"
||"Tread"||"20536650"|"7018360"
||"Tread"||"20536651"|"7018361"
||"Tread"||"20536652"|"7018368"
||"Riser"||"20536653"|"7018318"
||"Tread"||"20536654"|"7018319"
||"Tread"||"20536655"|"7018320"
||"Tread"||"20536656"|"7018340"
||"Tread"||"20536657"|"7018341"
||"Tread"||"20536658"|"7018342"
||"Tread"||"20536659"|"7018291"
||"Tread"||"20536660"|"7018292"
||"Tread"||"20536661"|"7018297"
||"Tread"||"20536662"|"7018311"
||"Tread"||"20536663"|"7018313"
||"Tread"||"20536664"|"7018317"
||"Tread"||"20536665"|"7018263"
||"Tread"||"20536666"|"7018264"
||"Tread"||"20536667"|"7018265"
||"Tread"||"20536668"|"7018282"
|"Base Slope"|||"20536668"|"7018283"
||"Tread"||"20536669"|"7018286"
|"Base Slope"|||"20536669"|"7018287"
||"Tread"||"20536670"|"7018290"
|"Interfluve"|||"20536671"|"7018384"
|"Side Slope"|||"20536671"|"7018385"
|"Interfluve"|||"20536672"|"7018388"
|"Side Slope"|||"20536672"|"7018389"
"Mountaintop"||||"20536673"|"7018392"
|"Base Slope"|||"20536674"|"7018395"
|"Interfluve"|||"20536674"|"7018396"
|"Base Slope"|||"20536675"|"7018400"
|"Interfluve"|||"20536675"|"7018401"
"Mountaintop"||||"20536676"|"7018469"
"Mountainflank"||||"20536676"|"7018470"
"Mountaintop"||||"20536677"|"7018523"
|"Nose Slope"|||"20536678"|"7018526"
|"Side Slope"|||"20536678"|"7018527"
|"Interfluve"|||"20536679"|"7018530"
|"Side Slope"|||"20536679"|"7018531"
|"Base Slope"|||"20536680"|"7018534"
|"Interfluve"|||"20536680"|"7018535"
|"Interfluve"|||"20536681"|"7018497"
|"Side Slope"|||"20536681"|"7018498"
|"Side Slope"|||"20536682"|"7018503"
|"Head Slope"|||"20536682"|"7018504"
|"Nose Slope"|||"20536683"|"7018507"
|"Side Slope"|||"20536683"|"7018508"
"Mountaintop"||||"20536684"|"7018511"
|"Interfluve"|||"20536685"|"7018514"
|"Side Slope"|||"20536685"|"7018515"
|"Side Slope"|||"20536686"|"7018519"
|"Head Slope"|||"20536686"|"7018520"
"Mountainflank"||||"20536687"|"7018474"
"Mountaintop"||||"20536688"|"7018477"
|"Interfluve"|||"20536689"|"7018480"
|"Side Slope"|||"20536689"|"7018481"
"Mountainflank"||||"20536690"|"7018484"
|"Base Slope"|||"20536691"|"7018488"
|"Interfluve"|||"20536691"|"7018489"
|"Interfluve"|||"20536692"|"7018493"
|"Side Slope"|||"20536692"|"7018494"
|"Base Slope"|||"20536693"|"7018252"
||"Tread"||"20536694"|"7018284"
|"Base Slope"|||"20536694"|"7018285"
||"Tread"||"20536695"|"7018288"
|"Base Slope"|||"20536695"|"7018289"
|"Base Slope"|||"20536696"|"7018298"
|"Base Slope"|||"20536697"|"7018299"
|"Base Slope"|||"20536698"|"7018300"
|"Side Slope"|||"20536699"|"7018366"
|"Base Slope"|||"20536700"|"7018375"
|"Base Slope"|||"20536701"|"7018411"
|"Base Slope"|||"20536702"|"7018416"
|"Crest"|||"20536703"|"7018336"
|"Crest"|||"20536704"|"7018337"
|"Base Slope"|||"20536705"|"7018346"
|"Base Slope"|||"20536706"|"7018349"
|"Base Slope"|||"20536707"|"7018352"
|"Crest"|||"20536708"|"7018363"
|"Base Slope"|||"20536709"|"7018308"
|"Crest"|||"20536710"|"7018323"
|"Crest"|||"20536711"|"7018326"
|"Side Slope"|||"20536712"|"7018329"
|"Side Slope"|||"20536713"|"7018332"
|"Side Slope"|||"20536714"|"7018335"
|"Base Slope"|||"20536715"|"7018309"
|"Crest"|||"20536716"|"7018364"
|"Side Slope"|||"20536717"|"7018367"
|"Base Slope"|||"20536718"|"7018376"
|"Interfluve"|||"20536719"|"7018437"
|"Side Slope"|||"20536720"|"7018438"
|"Interfluve"|||"20536720"|"7018439"
|"Base Slope"|||"20536721"|"7018440"
|"Base Slope"|||"20536722"|"7018441"
|"Head Slope"|||"20536722"|"7018442"
|"Side Slope"|||"20536723"|"7018443"
|"Side Slope"|||"20536724"|"7018444"
|"Nose Slope"|||"20536724"|"7018445"
"Upper third of mountainflank"||||"20536725"|"7018455"
"Mountaintop"||||"20536725"|"7018456"
|"Side Slope"|||"20536726"|"7018459"
|"Nose Slope"|||"20536726"|"7018460"
|"Side Slope"|||"20536727"|"7018461"
|"Base Slope"|||"20536728"|"7018462"
|"Head Slope"|||"20536728"|"7018463"
|"Interfluve"|||"20536729"|"7018464"
|"Side Slope"|||"20536730"|"7018465"
|"Interfluve"|||"20536730"|"7018466"
|"Side Slope"|||"20536731"|"7018446"
|"Base Slope"|||"20536732"|"7018447"
|"Head Slope"|||"20536732"|"7018448"
|"Side Slope"|||"20536733"|"7018449"
|"Side Slope"|||"20536734"|"7018450"
|"Base Slope"|||"20536735"|"7018451"
|"Head Slope"|||"20536735"|"7018452"
|"Side Slope"|||"20536736"|"7018453"
||||"20536736"|"7018454"
|"Side Slope"|||"20536743"|"7018457"
|"Nose Slope"|||"20536743"|"7018458"
|"Side Slope"|||"20536765"|"7018397"
|"Side Slope"|||"20536766"|"7018402"
|"Side Slope"|||"20536771"|"7018536"
|"Side Slope"|||"20536776"|"7018516"
|"Side Slope"|||"20536781"|"7018490"
|"Side Slope"|||"20536783"|"7018499"
